                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Negative Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1222E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3962E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4354E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1645E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2233E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.2834E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1574E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1202E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0014    0.0019  0.5632E+08  0.1807E+09  0.2084E+08  0.7577E+08  0.9326E+09  0.3430E+06  0.7230E+08  0.5398E+08
    0.0019    0.0026  0.7145E+08  0.2300E+09  0.2623E+08  0.9614E+08  0.1208E+10  0.2976E+06  0.9181E+08  0.6886E+08
    0.0026    0.0036  0.8822E+08  0.2845E+09  0.3207E+08  0.1186E+09  0.1528E+10  0.2573E+06  0.1134E+09  0.8554E+08
    0.0036    0.0050  0.1050E+09  0.3392E+09  0.3764E+08  0.1413E+09  0.1874E+10  0.2220E+06  0.1351E+09  0.1027E+09
    0.0050    0.0069  0.1196E+09  0.3882E+09  0.4216E+08  0.1610E+09  0.2205E+10  0.1911E+06  0.1541E+09  0.1180E+09
    0.0069    0.0095  0.1289E+09  0.4207E+09  0.4470E+08  0.1739E+09  0.2461E+10  0.1642E+06  0.1663E+09  0.1286E+09
    0.0095    0.0132  0.1303E+09  0.4270E+09  0.4438E+08  0.1759E+09  0.2569E+10  0.1409E+06  0.1683E+09  0.1312E+09
    0.0132    0.0182  0.1223E+09  0.4028E+09  0.4113E+08  0.1653E+09  0.2469E+10  0.1207E+06  0.1582E+09  0.1240E+09
    0.0182    0.0251  0.1060E+09  0.3492E+09  0.3551E+08  0.1432E+09  0.2153E+10  0.1033E+06  0.1370E+09  0.1076E+09
    0.0251    0.0347  0.8430E+08  0.2768E+09  0.2862E+08  0.1139E+09  0.1679E+10  0.8838E+05  0.1090E+09  0.8510E+08
    0.0347    0.0479  0.6171E+08  0.2011E+09  0.2153E+08  0.8323E+08  0.1159E+10  0.7552E+05  0.7962E+08  0.6137E+08
    0.0479    0.0661  0.4176E+08  0.1351E+09  0.1506E+08  0.5622E+08  0.7053E+09  0.6450E+05  0.5372E+08  0.4063E+08
    0.0661    0.0912  0.2624E+08  0.8488E+08  0.9856E+07  0.3545E+08  0.3869E+09  0.5505E+05  0.3381E+08  0.2511E+08
    0.0912    0.1259  0.1560E+08  0.5025E+08  0.5964E+07  0.2115E+08  0.2176E+09  0.4697E+05  0.2012E+08  0.1484E+08
    0.1259    0.1738  0.8949E+07  0.2885E+08  0.3284E+07  0.1200E+08  0.1280E+09  0.4005E+05  0.1149E+08  0.8641E+07
    0.1738    0.2399  0.4925E+07  0.1635E+08  0.1669E+07  0.6631E+07  0.7323E+08  0.3415E+05  0.6394E+07  0.5090E+07
    0.2399    0.3311  0.2611E+07  0.9348E+07  0.7862E+06  0.3622E+07  0.4317E+08  0.2910E+05  0.3515E+07  0.3080E+07
    0.3311    0.4571  0.1347E+07  0.5509E+07  0.3464E+06  0.1948E+07  0.3237E+08  0.2480E+05  0.1930E+07  0.1923E+07
    0.4571    0.6310  0.6804E+06  0.3288E+07  0.1445E+06  0.1034E+07  0.2423E+08  0.9852E+04  0.1068E+07  0.1235E+07
    0.6310    0.8710  0.3376E+06  0.2008E+07  0.5782E+05  0.5443E+06  0.1810E+08  0.3296E+04  0.5993E+06  0.8134E+06
    0.8710    1.2023  0.1659E+06  0.1250E+07  0.2231E+05  0.2844E+06  0.1351E+08  0.1075E+04  0.3424E+06  0.5474E+06
    1.2023    1.6596  0.8059E+05  0.7821E+06  0.8477E+04  0.1482E+06  0.1007E+08  0.3176E+03  0.1998E+06  0.3758E+06
    1.6596    2.2909  0.3902E+05  0.4927E+06  0.3163E+04  0.7690E+05  0.7509E+07  0.7631E+02  0.1191E+06  0.2627E+06
    2.2909    3.1623  0.1879E+05  0.3111E+06  0.1160E+04  0.3990E+05  0.5620E+07  0.1751E+02  0.7267E+05  0.1867E+06
    3.1623    4.3652  0.9009E+04  0.1974E+06  0.4247E+03  0.2067E+05  0.4381E+07  0.3968E+01  0.4531E+05  0.1348E+06
    4.3652    6.0256  0.4317E+04  0.1254E+06  0.1542E+03  0.1066E+05  0.3415E+07  0.8913E+00  0.2885E+05  0.9866E+05
    6.0256    8.3176  0.2061E+04  0.7985E+05  0.5536E+02  0.5511E+04  0.2662E+07  0.1989E+00  0.1875E+05  0.7311E+05
    8.3176   11.4815  0.9829E+03  0.5098E+05  0.1983E+02  0.2853E+04  0.2075E+07  0.4415E-01  0.1242E+05  0.5478E+05
   11.4815   15.8489  0.4696E+03  0.3249E+05  0.7059E+01  0.1472E+04  0.1617E+07  0.9769E-02  0.8373E+04  0.4145E+05
   15.8489   21.8776  0.2241E+03  0.2081E+05  0.2504E+01  0.7605E+03  0.1303E+07  0.2156E-02  0.5737E+04  0.3164E+05
   21.8776   30.1995  0.1067E+03  0.1330E+05  0.8921E+00  0.3925E+03  0.1054E+07  0.4748E-03  0.3990E+04  0.2434E+05
   30.1995   41.6869  0.5097E+02  0.8532E+04  0.3158E+00  0.2024E+03  0.8529E+06  0.1044E-03  0.2814E+04  0.1885E+05
   41.6869   57.5440  0.2431E+02  0.5479E+04  0.1115E+00  0.1047E+03  0.6901E+06  0.2295E-04  0.2009E+04  0.1469E+05
   57.5440   79.4328  0.1160E+02  0.3502E+04  0.3944E-01  0.5425E+02  0.5583E+06  0.5039E-05  0.1451E+04  0.1151E+05
   79.4328  109.6478  0.5528E+01  0.2254E+04  0.1391E-01  0.2807E+02  0.4517E+06  0.1106E-05  0.1059E+04  0.9068E+04
  109.6478  151.3562  0.2635E+01  0.1442E+04  0.4903E-02  0.1450E+02  0.3655E+06  0.2425E-06  0.7800E+03  0.7173E+04
  151.3562  208.9296  0.1253E+01  0.9229E+03  0.1731E-02  0.7482E+01  0.2993E+06  0.5319E-07  0.5796E+03  0.5697E+04
  208.9296  288.4032  0.5983E+00  0.5906E+03  0.6126E-03  0.3858E+01  0.2524E+06  0.1166E-07  0.4341E+03  0.4541E+04
  288.4032  398.1071  0.2854E+00  0.3792E+03  0.2156E-03  0.1990E+01  0.2128E+06  0.2556E-08  0.3274E+03  0.3632E+04
  398.1071  549.5409  0.1361E+00  0.2431E+03  0.7589E-04  0.1026E+01  0.1794E+06  0.5602E-09  0.2485E+03  0.2913E+04
  549.5409  758.5778  0.6466E-01  0.1570E+03  0.2667E-04  0.5299E+00  0.1512E+06  0.1228E-09  0.1898E+03  0.2343E+04
  758.5778 1047.1285  0.3073E-01  0.1014E+03  0.9440E-05  0.2735E+00  0.1275E+06  0.2691E-10  0.1458E+03  0.1889E+04
 1047.1285 1445.4401  0.1464E-01  0.6509E+02  0.3330E-05  0.1411E+00  0.1075E+06  0.5896E-11  0.1125E+03  0.1527E+04
 1445.4401 1995.2621  0.6977E-02  0.4194E+02  0.1175E-05  0.7268E-01  0.9064E+05  0.1292E-11  0.8720E+02  0.1237E+04
 1995.2621 2754.2290  0.3324E-02  0.2699E+02  0.4117E-06  0.3750E-01  0.7642E+05  0.2831E-12  0.6788E+02  0.1004E+04
 2754.2290 3801.8933  0.1584E-02  0.1741E+02  0.1446E-06  0.1938E-01  0.6443E+05  0.6203E-13  0.5305E+02  0.8159E+03
 3801.8933 5248.0747  0.7552E-03  0.1122E+02  0.5081E-07  0.1001E-01  0.5432E+05  0.1359E-13  0.4161E+02  0.6644E+03
 5248.0747 7244.3579  0.3607E-03  0.7229E+01  0.1792E-07  0.5168E-02  0.4579E+05  0.2978E-14  0.3275E+02  0.5419E+03
 7244.3579 10000.0000  0.1719E-03  0.4654E+01  0.6311E-08  0.2673E-02  0.3861E+05  0.6525E-15  0.2585E+02  0.4427E+03
  ------------------------------------------------------------------------------------------
           TOTALS:    0.1220E+10  0.3978E+10  0.4282E+09  0.1646E+10  0.2263E+11  0.2707E+07  0.1574E+10  0.1212E+10
