                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Negative Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1208E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3898E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4251E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1625E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2174E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.2907E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1553E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1179E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0026    0.0036  0.8737E+08  0.2801E+09  0.3140E+08  0.1174E+09  0.1501E+10  0.2651E+06  0.1122E+09  0.8432E+08
    0.0036    0.0050  0.1039E+09  0.3345E+09  0.3683E+08  0.1397E+09  0.1836E+10  0.2277E+06  0.1335E+09  0.1010E+09
    0.0050    0.0069  0.1182E+09  0.3823E+09  0.4118E+08  0.1591E+09  0.2154E+10  0.1953E+06  0.1520E+09  0.1159E+09
    0.0069    0.0095  0.1272E+09  0.4132E+09  0.4359E+08  0.1715E+09  0.2397E+10  0.1673E+06  0.1639E+09  0.1261E+09
    0.0095    0.0132  0.1285E+09  0.4194E+09  0.4328E+08  0.1734E+09  0.2494E+10  0.1431E+06  0.1658E+09  0.1285E+09
    0.0132    0.0182  0.1205E+09  0.3950E+09  0.4015E+08  0.1628E+09  0.2391E+10  0.1224E+06  0.1557E+09  0.1213E+09
    0.0182    0.0251  0.1044E+09  0.3421E+09  0.3469E+08  0.1410E+09  0.2080E+10  0.1045E+06  0.1348E+09  0.1051E+09
    0.0251    0.0347  0.8308E+08  0.2716E+09  0.2792E+08  0.1122E+09  0.1620E+10  0.8925E+05  0.1072E+09  0.8317E+08
    0.0347    0.0479  0.6090E+08  0.1974E+09  0.2099E+08  0.8200E+08  0.1118E+10  0.7616E+05  0.7836E+08  0.6000E+08
    0.0479    0.0661  0.4120E+08  0.1328E+09  0.1469E+08  0.5541E+08  0.6800E+09  0.6496E+05  0.5292E+08  0.3977E+08
    0.0661    0.0912  0.2589E+08  0.8364E+08  0.9571E+07  0.3496E+08  0.3682E+09  0.5539E+05  0.3334E+08  0.2461E+08
    0.0912    0.1259  0.1542E+08  0.4958E+08  0.5805E+07  0.2090E+08  0.2107E+09  0.4721E+05  0.1987E+08  0.1458E+08
    0.1259    0.1738  0.8860E+07  0.2851E+08  0.3216E+07  0.1187E+08  0.1247E+09  0.4023E+05  0.1136E+08  0.8513E+07
    0.1738    0.2399  0.4881E+07  0.1615E+08  0.1643E+07  0.6577E+07  0.7154E+08  0.3427E+05  0.6333E+07  0.5028E+07
    0.2399    0.3311  0.2592E+07  0.9264E+07  0.7755E+06  0.3596E+07  0.4256E+08  0.2920E+05  0.3486E+07  0.3050E+07
    0.3311    0.4571  0.1337E+07  0.5463E+07  0.3418E+06  0.1936E+07  0.3190E+08  0.2486E+05  0.1917E+07  0.1908E+07
    0.4571    0.6310  0.6759E+06  0.3271E+07  0.1434E+06  0.1028E+07  0.2392E+08  0.9459E+04  0.1062E+07  0.1228E+07
    0.6310    0.8710  0.3358E+06  0.1999E+07  0.5741E+05  0.5413E+06  0.1791E+08  0.3181E+04  0.5964E+06  0.8094E+06
    0.8710    1.2023  0.1650E+06  0.1244E+07  0.2219E+05  0.2831E+06  0.1338E+08  0.1042E+04  0.3411E+06  0.5452E+06
    1.2023    1.6596  0.8025E+05  0.7800E+06  0.8446E+04  0.1475E+06  0.9995E+07  0.3098E+03  0.1991E+06  0.3745E+06
    1.6596    2.2909  0.3887E+05  0.4915E+06  0.3146E+04  0.7663E+05  0.7459E+07  0.7749E+02  0.1188E+06  0.2620E+06
    2.2909    3.1623  0.1874E+05  0.3107E+06  0.1156E+04  0.3979E+05  0.5582E+07  0.1774E+02  0.7250E+05  0.1863E+06
    3.1623    4.3652  0.8984E+04  0.1971E+06  0.4237E+03  0.2062E+05  0.4356E+07  0.4013E+01  0.4522E+05  0.1346E+06
    4.3652    6.0256  0.4309E+04  0.1252E+06  0.1539E+03  0.1064E+05  0.3398E+07  0.8999E+00  0.2881E+05  0.9851E+05
    6.0256    8.3176  0.2059E+04  0.7968E+05  0.5522E+02  0.5504E+04  0.2651E+07  0.2005E+00  0.1873E+05  0.7302E+05
    8.3176   11.4815  0.9810E+03  0.5094E+05  0.1978E+02  0.2849E+04  0.2067E+07  0.4446E-01  0.1241E+05  0.5472E+05
   11.4815   15.8489  0.4688E+03  0.3247E+05  0.7049E+01  0.1470E+04  0.1612E+07  0.9828E-02  0.8365E+04  0.4141E+05
   15.8489   21.8776  0.2239E+03  0.2080E+05  0.2498E+01  0.7595E+03  0.1303E+07  0.2167E-02  0.5733E+04  0.3162E+05
   21.8776   30.1995  0.1066E+03  0.1330E+05  0.8916E+00  0.3923E+03  0.1054E+07  0.4769E-03  0.3988E+04  0.2432E+05
   30.1995   41.6869  0.5092E+02  0.8521E+04  0.3155E+00  0.2022E+03  0.8530E+06  0.1048E-03  0.2812E+04  0.1884E+05
   41.6869   57.5440  0.2428E+02  0.5476E+04  0.1112E+00  0.1046E+03  0.6901E+06  0.2302E-04  0.2008E+04  0.1469E+05
   57.5440   79.4328  0.1159E+02  0.3500E+04  0.3937E-01  0.5422E+02  0.5583E+06  0.5052E-05  0.1450E+04  0.1151E+05
   79.4328  109.6478  0.5524E+01  0.2255E+04  0.1391E-01  0.2804E+02  0.4517E+06  0.1108E-05  0.1059E+04  0.9066E+04
  109.6478  151.3562  0.2634E+01  0.1441E+04  0.4903E-02  0.1449E+02  0.3655E+06  0.2430E-06  0.7798E+03  0.7172E+04
  151.3562  208.9296  0.1253E+01  0.9226E+03  0.1730E-02  0.7478E+01  0.2995E+06  0.5327E-07  0.5795E+03  0.5696E+04
  208.9296  288.4032  0.5983E+00  0.5902E+03  0.6126E-03  0.3856E+01  0.2525E+06  0.1168E-07  0.4340E+03  0.4541E+04
  288.4032  398.1071  0.2852E+00  0.3792E+03  0.2155E-03  0.1990E+01  0.2129E+06  0.2559E-08  0.3273E+03  0.3631E+04
  398.1071  549.5409  0.1361E+00  0.2430E+03  0.7583E-04  0.1026E+01  0.1795E+06  0.5608E-09  0.2485E+03  0.2913E+04
  549.5409  758.5778  0.6465E-01  0.1570E+03  0.2667E-04  0.5298E+00  0.1513E+06  0.1229E-09  0.1898E+03  0.2343E+04
  758.5778 1047.1285  0.3072E-01  0.1014E+03  0.9438E-05  0.2734E+00  0.1275E+06  0.2693E-10  0.1457E+03  0.1889E+04
 1047.1285 1445.4401  0.1464E-01  0.6508E+02  0.3329E-05  0.1411E+00  0.1075E+06  0.5900E-11  0.1125E+03  0.1527E+04
 1445.4401 1995.2621  0.6977E-02  0.4194E+02  0.1175E-05  0.7266E-01  0.9065E+05  0.1293E-11  0.8719E+02  0.1237E+04
 1995.2621 2754.2290  0.3324E-02  0.2698E+02  0.4117E-06  0.3749E-01  0.7643E+05  0.2832E-12  0.6788E+02  0.1004E+04
 2754.2290 3801.8933  0.1584E-02  0.1741E+02  0.1446E-06  0.1937E-01  0.6443E+05  0.6206E-13  0.5305E+02  0.8159E+03
 3801.8933 5248.0747  0.7553E-03  0.1122E+02  0.5080E-07  0.1001E-01  0.5432E+05  0.1360E-13  0.4161E+02  0.6644E+03
 5248.0747 7244.3579  0.3607E-03  0.7229E+01  0.1792E-07  0.5167E-02  0.4580E+05  0.2979E-14  0.3274E+02  0.5419E+03
 7244.3579 10000.0000  0.1719E-03  0.4653E+01  0.6310E-08  0.2673E-02  0.3861E+05  0.6527E-15  0.2585E+02  0.4427E+03
  ------------------------------------------------------------------------------------------
           TOTALS:    0.1205E+10  0.3914E+10  0.4185E+09  0.1625E+10  0.2203E+11  0.2780E+07  0.1553E+10  0.1189E+10
