                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Positive Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1230E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3959E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4390E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1660E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2144E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.3202E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1585E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1204E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    1.2023    1.6596  0.8080E+05  0.7836E+06  0.8527E+04  0.1484E+06  0.9943E+07  0.3229E+03  0.2001E+06  0.3761E+06
    1.6596    2.2909  0.3910E+05  0.4937E+06  0.3175E+04  0.7701E+05  0.7426E+07  0.7671E+02  0.1193E+06  0.2629E+06
    2.2909    3.1623  0.1882E+05  0.3113E+06  0.1164E+04  0.3996E+05  0.5637E+07  0.1759E+02  0.7276E+05  0.1869E+06
    3.1623    4.3652  0.9015E+04  0.1974E+06  0.4258E+03  0.2070E+05  0.4393E+07  0.3984E+01  0.4535E+05  0.1349E+06
    4.3652    6.0256  0.4323E+04  0.1253E+06  0.1545E+03  0.1068E+05  0.3423E+07  0.8942E+00  0.2888E+05  0.9871E+05
    6.0256    8.3176  0.2062E+04  0.7983E+05  0.5556E+02  0.5517E+04  0.2667E+07  0.1994E+00  0.1877E+05  0.7314E+05
    8.3176   11.4815  0.9843E+03  0.5103E+05  0.1986E+02  0.2857E+04  0.2078E+07  0.4426E-01  0.1243E+05  0.5480E+05
   11.4815   15.8489  0.4701E+03  0.3251E+05  0.7082E+01  0.1473E+04  0.1619E+07  0.9789E-02  0.8377E+04  0.4146E+05
   15.8489   21.8776  0.2242E+03  0.2082E+05  0.2510E+01  0.7609E+03  0.1303E+07  0.2160E-02  0.5739E+04  0.3165E+05
   21.8776   30.1995  0.1067E+03  0.1330E+05  0.8921E+00  0.3928E+03  0.1054E+07  0.4755E-03  0.3992E+04  0.2435E+05
   30.1995   41.6869  0.5100E+02  0.8535E+04  0.3159E+00  0.2024E+03  0.8531E+06  0.1046E-03  0.2814E+04  0.1886E+05
   41.6869   57.5440  0.2431E+02  0.5480E+04  0.1116E+00  0.1047E+03  0.6902E+06  0.2297E-04  0.2010E+04  0.1470E+05
   57.5440   79.4328  0.1160E+02  0.3503E+04  0.3943E-01  0.5427E+02  0.5584E+06  0.5043E-05  0.1451E+04  0.1152E+05
   79.4328  109.6478  0.5525E+01  0.2254E+04  0.1392E-01  0.2806E+02  0.4518E+06  0.1107E-05  0.1059E+04  0.9070E+04
  109.6478  151.3562  0.2635E+01  0.1443E+04  0.4909E-02  0.1450E+02  0.3655E+06  0.2427E-06  0.7802E+03  0.7174E+04
