                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Positive X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.8057E+09 (#/cm^2/sec)
 95% Total Flux        =   0.2645E+10 (#/cm^2/sec)
  5% Total Flux        =   0.2571E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1104E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.1548E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.1366E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1045E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.8161E+09 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    1.2023    1.6596  0.7124E+05  0.7142E+06  0.7190E+04  0.1322E+06  0.9062E+07  0.2387E+03  0.1812E+06  0.3475E+06
    1.6596    2.2909  0.3507E+05  0.4577E+06  0.2741E+04  0.6967E+05  0.6861E+07  0.6556E+02  0.1098E+06  0.2461E+06
    2.2909    3.1623  0.1715E+05  0.2914E+06  0.1030E+04  0.3667E+05  0.5286E+07  0.1537E+02  0.6793E+05  0.1769E+06
    3.1623    4.3652  0.8327E+04  0.1864E+06  0.3823E+03  0.1925E+05  0.4158E+07  0.3548E+01  0.4284E+05  0.1288E+06
    4.3652    6.0256  0.4037E+04  0.1197E+06  0.1412E+03  0.1003E+05  0.3266E+07  0.8100E+00  0.2755E+05  0.9501E+05
    6.0256    8.3176  0.1948E+04  0.7678E+05  0.5140E+02  0.5226E+04  0.2563E+07  0.1833E+00  0.1804E+05  0.7084E+05
    8.3176   11.4815  0.9370E+03  0.4942E+05  0.1860E+02  0.2731E+04  0.2009E+07  0.4118E-01  0.1203E+05  0.5335E+05
   11.4815   15.8489  0.4508E+03  0.3159E+05  0.6689E+01  0.1419E+04  0.1579E+07  0.9205E-02  0.8153E+04  0.4054E+05
   15.8489   21.8776  0.2162E+03  0.2031E+05  0.2388E+01  0.7364E+03  0.1282E+07  0.2049E-02  0.5611E+04  0.3106E+05
   21.8776   30.1995  0.1036E+03  0.1303E+05  0.8584E+00  0.3817E+03  0.1040E+07  0.4548E-03  0.3917E+04  0.2396E+05
   30.1995   41.6869  0.4969E+02  0.8371E+04  0.3057E+00  0.1977E+03  0.8428E+06  0.1007E-03  0.2771E+04  0.1861E+05
   41.6869   57.5440  0.2378E+02  0.5394E+04  0.1084E+00  0.1026E+03  0.6831E+06  0.2224E-04  0.1983E+04  0.1453E+05
   57.5440   79.4328  0.1138E+02  0.3460E+04  0.3843E-01  0.5329E+02  0.5535E+06  0.4906E-05  0.1435E+04  0.1141E+05
   79.4328  109.6478  0.5437E+01  0.2228E+04  0.1361E-01  0.2764E+02  0.4484E+06  0.1081E-05  0.1049E+04  0.8997E+04
