                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Positive Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1217E+10 (#/cm^2/sec)
 95% Total Flux        =   0.3898E+10 (#/cm^2/sec)
  5% Total Flux        =   0.4289E+09 (#/cm^2/sec)
  67% Total Flux       =   0.1639E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2086E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.3293E+07 (#/cm^2/sec)
 Mean Total Flux       =   0.1564E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1183E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0019    0.0026  0.7111E+08  0.2273E+09  0.2592E+08  0.9597E+08  0.1161E+10  0.3640E+06  0.9140E+08  0.6810E+08
    0.0026    0.0036  0.8776E+08  0.2808E+09  0.3163E+08  0.1183E+09  0.1460E+10  0.3055E+06  0.1128E+09  0.8448E+08
    0.0036    0.0050  0.1045E+09  0.3347E+09  0.3715E+08  0.1409E+09  0.1778E+10  0.2570E+06  0.1344E+09  0.1013E+09
    0.0050    0.0069  0.1189E+09  0.3820E+09  0.4154E+08  0.1603E+09  0.2078E+10  0.2165E+06  0.1531E+09  0.1162E+09
    0.0069    0.0095  0.1282E+09  0.4136E+09  0.4398E+08  0.1730E+09  0.2302E+10  0.1826E+06  0.1652E+09  0.1264E+09
    0.0095    0.0132  0.1296E+09  0.4196E+09  0.4365E+08  0.1750E+09  0.2385E+10  0.1542E+06  0.1671E+09  0.1289E+09
    0.0132    0.0182  0.1216E+09  0.3951E+09  0.4053E+08  0.1644E+09  0.2277E+10  0.1304E+06  0.1570E+09  0.1217E+09
    0.0182    0.0251  0.1053E+09  0.3422E+09  0.3504E+08  0.1423E+09  0.1974E+10  0.1103E+06  0.1360E+09  0.1055E+09
    0.0251    0.0347  0.8387E+08  0.2716E+09  0.2818E+08  0.1132E+09  0.1534E+10  0.9344E+05  0.1082E+09  0.8347E+08
    0.0347    0.0479  0.6137E+08  0.1975E+09  0.2116E+08  0.8277E+08  0.1057E+10  0.7919E+05  0.7903E+08  0.6021E+08
