                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Electrons
 
 Negative X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy = 10000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1783E+10 (#/cm^2/sec)
 95% Total Flux        =   0.5686E+10 (#/cm^2/sec)
  5% Total Flux        =   0.6744E+09 (#/cm^2/sec)
  67% Total Flux       =   0.2363E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.2925E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.2893E+08 (#/cm^2/sec)
 Mean Total Flux       =   0.2281E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.1701E+10 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          67%       Maximum     Minimum     Mean       Std. Dev.
    0.0132    0.0182  0.1939E+09  0.6226E+09  0.7052E+08  0.2570E+09  0.3413E+10  0.2384E+06  0.2485E+09  0.1894E+09
    0.0182    0.0251  0.1708E+09  0.5505E+09  0.6125E+08  0.2265E+09  0.3060E+10  0.1827E+06  0.2190E+09  0.1680E+09
    0.0251    0.0347  0.1365E+09  0.4400E+09  0.4886E+08  0.1810E+09  0.2437E+10  0.1427E+06  0.1750E+09  0.1343E+09
    0.0347    0.0479  0.9894E+08  0.3172E+09  0.3591E+08  0.1311E+09  0.1702E+10  0.1130E+06  0.1267E+09  0.9645E+08
    0.0479    0.0661  0.6546E+08  0.2092E+09  0.2443E+08  0.8649E+08  0.1037E+10  0.9061E+05  0.8360E+08  0.6261E+08
    0.0661    0.0912  0.3990E+08  0.1269E+09  0.1540E+08  0.5288E+08  0.5513E+09  0.7336E+05  0.5094E+08  0.3737E+08
    0.0912    0.1259  0.2289E+08  0.7219E+08  0.9032E+07  0.3060E+08  0.2907E+09  0.5988E+05  0.2914E+08  0.2109E+08
    0.1259    0.1738  0.1247E+08  0.3960E+08  0.4897E+07  0.1652E+08  0.1628E+09  0.4919E+05  0.1594E+08  0.1166E+08
    0.1738    0.2399  0.6602E+07  0.2134E+08  0.2426E+07  0.8766E+07  0.9043E+08  0.4064E+05  0.8497E+07  0.6523E+07
    0.2399    0.3311  0.3385E+07  0.1168E+08  0.1102E+07  0.4616E+07  0.5251E+08  0.3373E+05  0.4482E+07  0.3775E+07
    0.3311    0.4571  0.1690E+07  0.6600E+07  0.4667E+06  0.2407E+07  0.3826E+08  0.2811E+05  0.2371E+07  0.2272E+07
    0.4571    0.6310  0.8274E+06  0.3823E+07  0.1877E+06  0.1242E+07  0.2792E+08  0.1662E+05  0.1269E+07  0.1417E+07
