                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Positive Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.6936E+07 (#/cm^2/sec)
 95% Total Flux        =   0.1282E+09 (#/cm^2/sec)
  5% Total Flux        =   0.5152E+06 (#/cm^2/sec)
  95% Total Flux       =   0.1282E+09 (#/cm^2/sec)
 Maximum Total Flux    =   0.1623E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.2599E+04 (#/cm^2/sec)
 Mean Total Flux       =   0.2664E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5249E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    6.9183    9.1201  0.2923E+02  0.3088E+04  0.8284E-01  0.3088E+04  0.9312E+06  0.8053E-06  0.1143E+04  0.1039E+05
    9.1201   12.0226  0.1779E+02  0.2290E+04  0.4111E-01  0.2290E+04  0.6201E+06  0.2968E-06  0.7990E+03  0.7142E+04
   12.0226   15.8489  0.1079E+02  0.1707E+04  0.2021E-01  0.1707E+04  0.4131E+06  0.1091E-06  0.5685E+03  0.5038E+04
   15.8489   20.8930  0.6551E+01  0.1278E+04  0.9865E-02  0.1278E+04  0.2894E+06  0.4004E-07  0.4111E+03  0.3639E+04
   20.8930   27.5423  0.3996E+01  0.9628E+03  0.4828E-02  0.9628E+03  0.2295E+06  0.1467E-07  0.3016E+03  0.2683E+04
   27.5423   36.3078  0.2405E+01  0.7307E+03  0.2365E-02  0.7307E+03  0.1871E+06  0.5365E-08  0.2241E+03  0.2014E+04
   36.3078   47.8630  0.1456E+01  0.5542E+03  0.1146E-02  0.5542E+03  0.1544E+06  0.1959E-08  0.1685E+03  0.1533E+04
   47.8630   63.0957  0.8829E+00  0.4189E+03  0.5520E-03  0.4189E+03  0.1272E+06  0.7149E-09  0.1279E+03  0.1182E+04
   63.0957   83.1764  0.5336E+00  0.3181E+03  0.2665E-03  0.3181E+03  0.1046E+06  0.2605E-09  0.9795E+02  0.9212E+03
   83.1764  109.6478  0.3242E+00  0.2418E+03  0.1283E-03  0.2418E+03  0.8596E+05  0.9487E-10  0.7562E+02  0.7241E+03
  109.6478  144.5440  0.1966E+00  0.1864E+03  0.6139E-04  0.1864E+03  0.7055E+05  0.3452E-10  0.5878E+02  0.5734E+03
  144.5440  190.5461  0.1193E+00  0.1425E+03  0.2945E-04  0.1425E+03  0.5785E+05  0.1255E-10  0.4599E+02  0.4569E+03
  190.5461  251.1887  0.7253E-01  0.1101E+03  0.1410E-04  0.1101E+03  0.4739E+05  0.4561E-11  0.3618E+02  0.3661E+03
  251.1887  331.1311  0.4405E-01  0.8452E+02  0.6764E-05  0.8452E+02  0.3880E+05  0.1656E-11  0.2861E+02  0.2946E+03
  331.1311  436.5159  0.2690E-01  0.6503E+02  0.3222E-05  0.6503E+02  0.3175E+05  0.6014E-12  0.2273E+02  0.2380E+03
  436.5159  575.4399  0.1633E-01  0.5005E+02  0.1534E-05  0.5005E+02  0.2596E+05  0.2182E-12  0.1813E+02  0.1930E+03
  575.4399  758.5778  0.9850E-02  0.3850E+02  0.7297E-06  0.3850E+02  0.2122E+05  0.7917E-13  0.1452E+02  0.1569E+03
  758.5778 1000.0000  0.5975E-02  0.2980E+02  0.3488E-06  0.2980E+02  0.1734E+05  0.2871E-13  0.1167E+02  0.1279E+03
  ------------------------------------------------------------------------------------------
           TOTALS:    0.5847E+07  0.1241E+09  0.4303E+06  0.1241E+09  0.2793E+10  0.1797E+04  0.2664E+08  0.7465E+08
