                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Positive X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.6108E+03 (#/cm^2/sec)
 95% Total Flux        =   0.2967E+05 (#/cm^2/sec)
  5% Total Flux        =   0.6493E+01 (#/cm^2/sec)
  95% Total Flux       =   0.2967E+05 (#/cm^2/sec)
 Maximum Total Flux    =   0.5679E+07 (#/cm^2/sec)
 Minimum Total Flux    =   0.1387E-02 (#/cm^2/sec)
 Mean Total Flux       =   0.7281E+04 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.4593E+05 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
   15.8489   20.8930  0.2036E+01  0.5178E+03  0.2495E-02  0.5178E+03  0.1102E+06  0.1065E-07  0.1361E+03  0.1071E+04
   20.8930   27.5423  0.1416E+01  0.4326E+03  0.1427E-02  0.4326E+03  0.1005E+06  0.4573E-08  0.1161E+03  0.9383E+03
   27.5423   36.3078  0.9705E+00  0.3614E+03  0.8051E-03  0.3614E+03  0.9108E+05  0.1926E-08  0.9821E+02  0.8164E+03
   36.3078   47.8630  0.6562E+00  0.2982E+03  0.4417E-03  0.2982E+03  0.8164E+05  0.7973E-09  0.8261E+02  0.7057E+03
   47.8630   63.0957  0.4380E+00  0.2436E+03  0.2389E-03  0.2436E+03  0.7243E+05  0.3249E-09  0.6912E+02  0.6066E+03
   63.0957   83.1764  0.2899E+00  0.1984E+03  0.1266E-03  0.1984E+03  0.6368E+05  0.1305E-09  0.5758E+02  0.5186E+03
   83.1764  109.6478  0.1901E+00  0.1617E+03  0.6658E-04  0.1617E+03  0.5551E+05  0.5180E-10  0.4780E+02  0.4415E+03
  109.6478  144.5440  0.1233E+00  0.1307E+03  0.3450E-04  0.1307E+03  0.4802E+05  0.2033E-10  0.3956E+02  0.3743E+03
  144.5440  190.5461  0.7926E-01  0.1049E+03  0.1781E-04  0.1049E+03  0.4126E+05  0.7898E-11  0.3266E+02  0.3162E+03
  190.5461  251.1887  0.5065E-01  0.8391E+02  0.9127E-05  0.8391E+02  0.3533E+05  0.3042E-11  0.2692E+02  0.2664E+03
  251.1887  331.1311  0.3231E-01  0.6677E+02  0.4603E-05  0.6677E+02  0.3022E+05  0.1163E-11  0.2216E+02  0.2239E+03
  331.1311  436.5159  0.2036E-01  0.5311E+02  0.2299E-05  0.5311E+02  0.2574E+05  0.4415E-12  0.1823E+02  0.1877E+03
  436.5159  575.4399  0.1278E-01  0.4197E+02  0.1139E-05  0.4197E+02  0.2184E+05  0.1666E-12  0.1498E+02  0.1572E+03
  575.4399  758.5778  0.7985E-02  0.3305E+02  0.5643E-06  0.3305E+02  0.1846E+05  0.6256E-13  0.1231E+02  0.1314E+03
  758.5778 1000.0000  0.4984E-02  0.2593E+02  0.2792E-06  0.2593E+02  0.1556E+05  0.2338E-13  0.1012E+02  0.1097E+03
  ------------------------------------------------------------------------------------------
           TOTALS:    0.5834E+03  0.2931E+05  0.6241E+01  0.2931E+05  0.6915E+07  0.1257E-02  0.7281E+04  0.4999E+05
