                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Negative X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.8134E+09 (#/cm^2/sec)
 95% Total Flux        =   0.2568E+10 (#/cm^2/sec)
  5% Total Flux        =   0.3241E+09 (#/cm^2/sec)
  95% Total Flux       =   0.2568E+10 (#/cm^2/sec)
 Maximum Total Flux    =   0.1241E+11 (#/cm^2/sec)
 Minimum Total Flux    =   0.5834E+08 (#/cm^2/sec)
 Mean Total Flux       =   0.1034E+10 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.7733E+09 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.2037E+01  0.4543E+02  0.4499E-01  0.4543E+02  0.2013E+05  0.1310E-04  0.1084E+02  0.7927E+02
    0.0013    0.0017  0.2768E+01  0.6146E+02  0.6176E-01  0.6146E+02  0.2738E+05  0.1800E-04  0.1467E+02  0.1075E+03
    0.0017    0.0023  0.3782E+01  0.8335E+02  0.8507E-01  0.8335E+02  0.3741E+05  0.2490E-04  0.1993E+02  0.1465E+03
    0.0023    0.0030  0.5191E+01  0.1138E+03  0.1182E+00  0.1138E+03  0.5141E+05  0.3469E-04  0.2721E+02  0.2007E+03
    0.0030    0.0040  0.7181E+01  0.1561E+03  0.1655E+00  0.1561E+03  0.7110E+05  0.4876E-04  0.3736E+02  0.2766E+03
    0.0040    0.0052  0.9996E+01  0.2158E+03  0.2331E+00  0.2158E+03  0.9908E+05  0.6923E-04  0.5162E+02  0.3839E+03
    0.0052    0.0069  0.1406E+02  0.3002E+03  0.3320E+00  0.3002E+03  0.1393E+06  0.9946E-04  0.7189E+02  0.5374E+03
    0.0069    0.0091  0.1994E+02  0.4225E+03  0.4793E+00  0.4225E+03  0.1979E+06  0.1449E-03  0.1011E+03  0.7599E+03
    0.0091    0.0120  0.2862E+02  0.6005E+03  0.7021E+00  0.6005E+03  0.2847E+06  0.2144E-03  0.1436E+03  0.1087E+04
    0.0120    0.0158  0.4169E+02  0.8629E+03  0.1043E+01  0.8629E+03  0.4154E+06  0.3236E-03  0.2069E+03  0.1578E+04
    0.0158    0.0209  0.6172E+02  0.1260E+04  0.1584E+01  0.1260E+04  0.6167E+06  0.4993E-03  0.3028E+03  0.2329E+04
    0.0209    0.0275  0.9338E+02  0.1874E+04  0.2464E+01  0.1874E+04  0.9344E+06  0.7916E-03  0.4519E+03  0.3509E+04
    0.0275    0.0363  0.1450E+03  0.2850E+04  0.3944E+01  0.2850E+04  0.1451E+07  0.1296E-02  0.6911E+03  0.5420E+04
    0.0363    0.0479  0.2319E+03  0.4459E+04  0.6527E+01  0.4459E+04  0.2320E+07  0.2205E-02  0.1090E+04  0.8627E+04
    0.0479    0.0631  0.3847E+03  0.7190E+04  0.1127E+02  0.7190E+04  0.3843E+07  0.3935E-02  0.1788E+04  0.1425E+05
    0.0631    0.0832  0.6696E+03  0.1205E+05  0.2041E+02  0.1205E+05  0.6646E+07  0.7440E-02  0.3092E+04  0.2468E+05
    0.0832    0.1096  0.1244E+04  0.2102E+05  0.3944E+02  0.2102E+05  0.1211E+08  0.1513E-01  0.5751E+04  0.4537E+05
    0.1096    0.1445  0.2488E+04  0.4086E+05  0.8111E+02  0.4086E+05  0.2351E+08  0.3372E-01  0.1193E+05  0.9122E+05
    0.1445    0.1905  0.5557E+04  0.9574E+05  0.1830E+03  0.9574E+05  0.4909E+08  0.8467E-01  0.2991E+05  0.2519E+06
    0.1905    0.2512  0.1442E+05  0.2929E+06  0.4505E+03  0.2929E+06  0.3019E+09  0.2493E+00  0.1086E+06  0.1487E+07
    0.2512    0.3311  0.4577E+05  0.1496E+07  0.1255E+04  0.1496E+07  0.7131E+09  0.9151E+00  0.9738E+06  0.1106E+08
    0.3311    0.4365  0.2108E+06  0.2400E+08  0.3971E+04  0.2400E+08  0.1479E+10  0.4201E+01  0.1058E+08  0.6310E+08
    0.4365    0.5754  0.1662E+07  0.5789E+09  0.1519E+05  0.5789E+09  0.4175E+10  0.1734E+02  0.8924E+08  0.2677E+09
    0.5754    0.7586  0.3371E+08  0.1014E+10  0.6942E+05  0.1014E+10  0.8885E+10  0.4654E+02  0.2287E+09  0.3852E+09
    0.7586    1.0000  0.1348E+09  0.1122E+10  0.2728E+06  0.1122E+10  0.5672E+10  0.1530E+03  0.3110E+09  0.4637E+09
    1.0000    1.3183  0.3031E+08  0.1044E+10  0.1117E+06  0.1044E+10  0.7135E+10  0.2257E+02  0.2304E+09  0.4314E+09
    1.3183    1.7378  0.2033E+07  0.6512E+09  0.1141E+05  0.6512E+09  0.8761E+10  0.1137E+01  0.1103E+09  0.3218E+09
    1.7378    2.2909  0.1767E+06  0.2659E+09  0.1486E+04  0.2659E+09  0.4303E+10  0.9206E-01  0.3707E+08  0.1456E+09
    2.2909    3.0200  0.3161E+05  0.3236E+08  0.2600E+03  0.3236E+08  0.2261E+10  0.1077E-01  0.1170E+08  0.6258E+08
    3.0200    3.9811  0.7959E+04  0.1847E+07  0.5670E+02  0.1847E+07  0.9198E+09  0.1615E-02  0.2824E+07  0.2792E+08
    3.9811    5.2481  0.2457E+04  0.2451E+06  0.1441E+02  0.2451E+06  0.5946E+09  0.2893E-03  0.8354E+06  0.1262E+08
    5.2481    6.9183  0.8633E+03  0.7015E+05  0.4072E+01  0.7015E+05  0.2883E+09  0.5911E-04  0.2022E+06  0.3507E+07
    6.9183    9.1201  0.3341E+03  0.2843E+05  0.1273E+01  0.2843E+05  0.7685E+08  0.1336E-04  0.4812E+05  0.8203E+06
    9.1201   12.0226  0.1407E+03  0.1361E+05  0.4245E+00  0.1361E+05  0.1999E+08  0.3272E-05  0.1402E+05  0.2182E+06
   12.0226   15.8489  0.6252E+02  0.7382E+04  0.1492E+00  0.7382E+04  0.6599E+07  0.8534E-06  0.5166E+04  0.7238E+05
   15.8489   20.8930  0.2932E+02  0.4315E+04  0.5533E-01  0.4315E+04  0.2749E+07  0.2344E-06  0.2306E+04  0.2943E+05
   20.8930   27.5423  0.1435E+02  0.2652E+04  0.2139E-01  0.2652E+04  0.1311E+07  0.6714E-07  0.1186E+04  0.1409E+05
   27.5423   36.3078  0.7283E+01  0.1705E+04  0.8529E-02  0.1705E+04  0.6808E+06  0.1992E-07  0.6752E+03  0.7640E+04
   36.3078   47.8630  0.3792E+01  0.1142E+04  0.3496E-02  0.1142E+04  0.4159E+06  0.6083E-08  0.4141E+03  0.4543E+04
   47.8630   63.0957  0.2014E+01  0.7761E+03  0.1471E-02  0.7761E+03  0.2973E+06  0.1904E-08  0.2683E+03  0.2893E+04
   63.0957   83.1764  0.1089E+01  0.5394E+03  0.6230E-03  0.5394E+03  0.2170E+06  0.6081E-09  0.1813E+03  0.1939E+04
   83.1764  109.6478  0.5991E+00  0.3822E+03  0.2667E-03  0.3822E+03  0.1610E+06  0.1977E-09  0.1266E+03  0.1351E+04
  109.6478  144.5440  0.3328E+00  0.2724E+03  0.1155E-03  0.2724E+03  0.1212E+06  0.6524E-10  0.9067E+02  0.9705E+03
  144.5440  190.5461  0.1880E+00  0.1991E+03  0.5096E-04  0.1991E+03  0.9232E+05  0.2180E-10  0.6633E+02  0.7139E+03
  190.5461  251.1887  0.1076E+00  0.1463E+03  0.2271E-04  0.1463E+03  0.7100E+05  0.7365E-11  0.4936E+02  0.5352E+03
  251.1887  331.1311  0.6189E-01  0.1084E+03  0.1018E-04  0.1084E+03  0.5505E+05  0.2511E-11  0.3727E+02  0.4075E+03
  331.1311  436.5159  0.3601E-01  0.8044E+02  0.4617E-05  0.8044E+02  0.4298E+05  0.8632E-12  0.2848E+02  0.3143E+03
  436.5159  575.4399  0.2104E-01  0.6015E+02  0.2102E-05  0.6015E+02  0.3376E+05  0.2988E-12  0.2199E+02  0.2450E+03
  575.4399  758.5778  0.1233E-01  0.4524E+02  0.9626E-06  0.4524E+02  0.2665E+05  0.1040E-12  0.1713E+02  0.1926E+03
  758.5778 1000.0000  0.7254E-02  0.3419E+02  0.4429E-06  0.3419E+02  0.2122E+05  0.3641E-13  0.1345E+02  0.1526E+03
  ------------------------------------------------------------------------------------------
           TOTALS:    0.2030E+09  0.4736E+10  0.4884E+06  0.4736E+10  0.4570E+11  0.2462E+03  0.1034E+10  0.2199E+10
