                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Positive Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1005E+08 (#/cm^2/sec)
 95% Total Flux        =   0.9099E+08 (#/cm^2/sec)
  5% Total Flux        =   0.1586E+07 (#/cm^2/sec)
  95% Total Flux       =   0.9099E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.1226E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.1005E+06 (#/cm^2/sec)
 Mean Total Flux       =   0.2449E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.4789E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
  251.1887  331.1311  0.1567E-02  0.4820E-01  0.3266E-03  0.4820E-01  0.1591E+02  0.1000E-32  0.2602E-01  0.2491E+00
  331.1311  436.5159  0.7153E-03  0.2321E-01  0.1527E-03  0.2321E-01  0.8542E+01  0.1000E-32  0.1306E-01  0.1332E+00
  436.5159  575.4399  0.3251E-03  0.1136E-01  0.7113E-04  0.1136E-01  0.4586E+01  0.1000E-32  0.6586E-02  0.7149E-01
  575.4399  758.5778  0.1483E-03  0.5552E-02  0.3321E-04  0.5552E-02  0.2508E+01  0.1000E-32  0.3335E-02  0.3851E-01
  758.5778 1000.0000  0.6772E-04  0.2673E-02  0.1546E-04  0.2673E-02  0.1380E+01  0.1000E-32  0.1697E-02  0.2082E-01
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.3288E+06  0.1574E+07  0.6799E+05  0.1574E+07  0.9196E+07  0.2848E+04  0.5103E+06  0.5903E+06
    0.0013    0.0017  0.4057E+06  0.1991E+07  0.8158E+05  0.1991E+07  0.1165E+08  0.3368E+04  0.6412E+06  0.7589E+06
    0.0017    0.0023  0.4931E+06  0.2490E+07  0.9602E+05  0.2490E+07  0.1543E+08  0.3926E+04  0.7954E+06  0.9692E+06
    0.0023    0.0030  0.5834E+06  0.3087E+07  0.1092E+06  0.3087E+07  0.2036E+08  0.4503E+04  0.9712E+06  0.1227E+07
    0.0030    0.0040  0.6736E+06  0.3761E+07  0.1197E+06  0.3761E+07  0.2759E+08  0.5073E+04  0.1164E+07  0.1538E+07
    0.0040    0.0052  0.7479E+06  0.4528E+07  0.1259E+06  0.4528E+07  0.3699E+08  0.5607E+04  0.1364E+07  0.1903E+07
    0.0052    0.0069  0.7937E+06  0.5318E+07  0.1273E+06  0.5318E+07  0.4849E+08  0.6069E+04  0.1558E+07  0.2319E+07
    0.0069    0.0091  0.8111E+06  0.6074E+07  0.1239E+06  0.6074E+07  0.6146E+08  0.6423E+04  0.1729E+07  0.2777E+07
