                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Negative Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1093E+08 (#/cm^2/sec)
 95% Total Flux        =   0.9723E+08 (#/cm^2/sec)
  5% Total Flux        =   0.1617E+07 (#/cm^2/sec)
  95% Total Flux       =   0.9723E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.1634E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.7640E+05 (#/cm^2/sec)
 Mean Total Flux       =   0.2555E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5137E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    2.2909    3.0200  0.5285E+03  0.1469E+05  0.7911E+02  0.1469E+05  0.6018E+06  0.3108E-08  0.4300E+04  0.1996E+05
    3.0200    3.9811  0.3281E+03  0.8804E+04  0.4978E+02  0.8804E+04  0.4001E+06  0.1689E-09  0.2688E+04  0.1283E+05
    3.9811    5.2481  0.2030E+03  0.5276E+04  0.3108E+02  0.5276E+04  0.2770E+06  0.9082E-11  0.1680E+04  0.8249E+04
    5.2481    6.9183  0.1257E+03  0.3170E+04  0.1946E+02  0.3170E+04  0.1920E+06  0.4848E-12  0.1051E+04  0.5309E+04
    6.9183    9.1201  0.7730E+02  0.1912E+04  0.1215E+02  0.1912E+04  0.1332E+06  0.2575E-13  0.6588E+03  0.3425E+04
    9.1201   12.0226  0.4757E+02  0.1152E+04  0.7610E+01  0.1152E+04  0.9259E+05  0.1364E-14  0.4137E+03  0.2218E+04
   12.0226   15.8489  0.2912E+02  0.6957E+03  0.4772E+01  0.6957E+03  0.6446E+05  0.7212E-16  0.2605E+03  0.1443E+04
   15.8489   20.8930  0.1786E+02  0.4293E+03  0.2992E+01  0.4293E+03  0.4495E+05  0.3811E-17  0.1645E+03  0.9442E+03
   20.8930   27.5423  0.1095E+02  0.2643E+03  0.1873E+01  0.2643E+03  0.3139E+05  0.2013E-18  0.1043E+03  0.6221E+03
   27.5423   36.3078  0.6689E+01  0.1630E+03  0.1170E+01  0.1630E+03  0.2195E+05  0.1064E-19  0.6633E+02  0.4128E+03
   36.3078   47.8630  0.4090E+01  0.1011E+03  0.7307E+00  0.1011E+03  0.1537E+05  0.5626E-21  0.4236E+02  0.2760E+03
   47.8630   63.0957  0.2513E+01  0.6217E+02  0.4570E+00  0.6217E+02  0.1078E+05  0.2977E-22  0.2717E+02  0.1860E+03
   63.0957   83.1764  0.1539E+01  0.3863E+02  0.2838E+00  0.3863E+02  0.7567E+04  0.1576E-23  0.1750E+02  0.1263E+03
   83.1764  109.6478  0.9353E+00  0.2397E+02  0.1769E+00  0.2397E+02  0.5317E+04  0.8353E-25  0.1132E+02  0.8635E+02
  109.6478  144.5440  0.5688E+00  0.1515E+02  0.1099E+00  0.1515E+02  0.3739E+04  0.4017E-26  0.7360E+01  0.5946E+02
  144.5440  190.5461  0.3442E+00  0.9617E+01  0.6824E-01  0.9617E+01  0.2632E+04  0.4600E-31  0.4805E+01  0.4120E+02
  190.5461  251.1887  0.2075E+00  0.6064E+01  0.4220E-01  0.6064E+01  0.1854E+04  0.6064E-31  0.3152E+01  0.2872E+02
  251.1887  331.1311  0.1253E+00  0.3844E+01  0.2610E-01  0.3844E+01  0.1307E+04  0.7994E-31  0.2077E+01  0.2012E+02
  331.1311  436.5159  0.7546E-01  0.2453E+01  0.1609E-01  0.2453E+01  0.9214E+03  0.1054E-30  0.1375E+01  0.1416E+02
  436.5159  575.4399  0.4518E-01  0.1581E+01  0.9904E-02  0.1581E+01  0.6593E+03  0.1389E-30  0.9140E+00  0.1001E+02
  575.4399  758.5778  0.2715E-01  0.1015E+01  0.6084E-02  0.1015E+01  0.4758E+03  0.1831E-30  0.6103E+00  0.7103E+01
  758.5778 1000.0000  0.1636E-01  0.6436E+00  0.3748E-02  0.6436E+00  0.3435E+03  0.2414E-30  0.4093E+00  0.5057E+01
  ------------------------------------------------------------------------------------------
           TOTALS:    0.9905E+07  0.9707E+08  0.1439E+07  0.9707E+08  0.1685E+10  0.6647E+05  0.2555E+08  0.5761E+08
