                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Positive X direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1205E+04 (#/cm^2/sec)
 95% Total Flux        =   0.2080E+05 (#/cm^2/sec)
  5% Total Flux        =   0.2171E+03 (#/cm^2/sec)
  95% Total Flux       =   0.2080E+05 (#/cm^2/sec)
 Maximum Total Flux    =   0.4887E+06 (#/cm^2/sec)
 Minimum Total Flux    =   0.8659E-06 (#/cm^2/sec)
 Mean Total Flux       =   0.5943E+04 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.2231E+05 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0030    0.0040  0.6498E+01  0.1047E+03  0.9150E+00  0.1047E+03  0.1895E+04  0.4489E-07  0.2703E+02  0.8379E+02
    0.0040    0.0052  0.8172E+01  0.1324E+03  0.1164E+01  0.1324E+03  0.2410E+04  0.5114E-07  0.3417E+02  0.1063E+03
    0.0052    0.0069  0.1022E+02  0.1663E+03  0.1470E+01  0.1663E+03  0.3050E+04  0.5708E-07  0.4294E+02  0.1342E+03
    0.0069    0.0091  0.1269E+02  0.2063E+03  0.1845E+01  0.2063E+03  0.3838E+04  0.6224E-07  0.5361E+02  0.1684E+03
    0.0091    0.0120  0.1566E+02  0.2558E+03  0.2294E+01  0.2558E+03  0.4799E+04  0.6611E-07  0.6644E+02  0.2100E+03
    0.0120    0.0158  0.1912E+02  0.3136E+03  0.2836E+01  0.3136E+03  0.5957E+04  0.6818E-07  0.8167E+02  0.2598E+03
    0.0158    0.0209  0.2312E+02  0.3822E+03  0.3475E+01  0.3822E+03  0.7333E+04  0.6800E-07  0.9948E+02  0.3188E+03
    0.0209    0.0275  0.2765E+02  0.4586E+03  0.4216E+01  0.4586E+03  0.8944E+04  0.6534E-07  0.1200E+03  0.3876E+03
    0.0275    0.0363  0.3268E+02  0.5429E+03  0.5062E+01  0.5429E+03  0.1080E+05  0.6021E-07  0.1430E+03  0.4664E+03
    0.0363    0.0479  0.3809E+02  0.6319E+03  0.5996E+01  0.6319E+03  0.1288E+05  0.5296E-07  0.1684E+03  0.5548E+03
    0.0479    0.0631  0.4393E+02  0.7271E+03  0.7016E+01  0.7271E+03  0.1518E+05  0.4424E-07  0.1956E+03  0.6518E+03
    0.0631    0.0832  0.4974E+02  0.8231E+03  0.8083E+01  0.8231E+03  0.1763E+05  0.3491E-07  0.2239E+03  0.7553E+03
    0.0832    0.1096  0.5543E+02  0.9175E+03  0.9157E+01  0.9175E+03  0.2016E+05  0.2587E-07  0.2521E+03  0.8623E+03
    0.1096    0.1445  0.6056E+02  0.1006E+04  0.1016E+02  0.1006E+04  0.2266E+05  0.1790E-07  0.2790E+03  0.9686E+03
    0.1445    0.1905  0.6498E+02  0.1092E+04  0.1105E+02  0.1092E+04  0.2500E+05  0.1150E-07  0.3031E+03  0.1069E+04
    0.1905    0.2512  0.6804E+02  0.1158E+04  0.1178E+02  0.1158E+04  0.2703E+05  0.6813E-08  0.3228E+03  0.1158E+04
    0.2512    0.3311  0.6989E+02  0.1194E+04  0.1232E+02  0.1194E+04  0.2859E+05  0.3703E-08  0.3366E+03  0.1231E+04
    0.3311    0.4365  0.6994E+02  0.1204E+04  0.1250E+02  0.1204E+04  0.2955E+05  0.1836E-08  0.3434E+03  0.1280E+04
    0.4365    0.5754  0.6840E+02  0.1190E+04  0.1235E+02  0.1190E+04  0.2980E+05  0.6369E-09  0.3424E+03  0.1303E+04
    0.5754    0.7586  0.6530E+02  0.1145E+04  0.1198E+02  0.1145E+04  0.2929E+05  0.1957E-09  0.3336E+03  0.1297E+04
    0.7586    1.0000  0.6067E+02  0.1081E+04  0.1126E+02  0.1081E+04  0.2846E+05  0.5378E-10  0.3172E+03  0.1261E+04
    1.0000    1.3183  0.5478E+02  0.9794E+03  0.1030E+02  0.9794E+03  0.2706E+05  0.1321E-10  0.2945E+03  0.1198E+04
    1.3183    1.7378  0.4835E+02  0.8765E+03  0.9150E+01  0.8765E+03  0.2504E+05  0.2905E-11  0.2668E+03  0.1111E+04
    1.7378    2.2909  0.4172E+02  0.7636E+03  0.7945E+01  0.7636E+03  0.2255E+05  0.5725E-12  0.2360E+03  0.1006E+04
    2.2909    3.0200  0.3500E+02  0.6437E+03  0.6698E+01  0.6437E+03  0.1976E+05  0.1014E-12  0.2039E+03  0.8911E+03
    3.0200    3.9811  0.2850E+02  0.5399E+03  0.5522E+01  0.5399E+03  0.1685E+05  0.1621E-13  0.1722E+03  0.7716E+03
    3.9811    5.2481  0.2274E+02  0.4363E+03  0.4435E+01  0.4363E+03  0.1399E+05  0.2348E-14  0.1422E+03  0.6540E+03
    5.2481    6.9183  0.1772E+02  0.3438E+03  0.3460E+01  0.3438E+03  0.1132E+05  0.3098E-15  0.1150E+03  0.5434E+03
    6.9183    9.1201  0.1350E+02  0.2672E+03  0.2651E+01  0.2672E+03  0.1012E+05  0.3744E-16  0.9120E+02  0.4433E+03
    9.1201   12.0226  0.1005E+02  0.1996E+03  0.1988E+01  0.1996E+03  0.9180E+04  0.4169E-17  0.7100E+02  0.3557E+03
   12.0226   15.8489  0.7370E+01  0.1474E+03  0.1443E+01  0.1474E+03  0.8160E+04  0.4303E-18  0.5434E+02  0.2813E+03
   15.8489   20.8930  0.5283E+01  0.1082E+03  0.1033E+01  0.1082E+03  0.7114E+04  0.4141E-19  0.4095E+02  0.2196E+03
   20.8930   27.5423  0.3737E+01  0.7760E+02  0.7306E+00  0.7760E+02  0.6086E+04  0.3739E-20  0.3043E+02  0.1697E+03
   27.5423   36.3078  0.2587E+01  0.5474E+02  0.5079E+00  0.5474E+02  0.5115E+04  0.3185E-21  0.2233E+02  0.1300E+03
   36.3078   47.8630  0.1773E+01  0.3862E+02  0.3515E+00  0.3862E+02  0.4229E+04  0.2574E-22  0.1621E+02  0.9891E+02
   47.8630   63.0957  0.1196E+01  0.2669E+02  0.2391E+00  0.2669E+02  0.3442E+04  0.1983E-23  0.1166E+02  0.7484E+02
   63.0957   83.1764  0.7971E+00  0.1833E+02  0.1614E+00  0.1833E+02  0.2761E+04  0.1464E-24  0.8311E+01  0.5638E+02
   83.1764  109.6478  0.5241E+00  0.1258E+02  0.1077E+00  0.1258E+02  0.2186E+04  0.1041E-25  0.5885E+01  0.4233E+02
  109.6478  144.5440  0.3406E+00  0.8769E+01  0.7081E-01  0.8769E+01  0.1710E+04  0.3490E-31  0.4143E+01  0.3169E+02
  144.5440  190.5461  0.2189E+00  0.5976E+01  0.4640E-01  0.5976E+01  0.1322E+04  0.4600E-31  0.2903E+01  0.2366E+02
  190.5461  251.1887  0.1386E+00  0.4028E+01  0.3023E-01  0.4028E+01  0.1013E+04  0.6064E-31  0.2027E+01  0.1763E+02
  251.1887  331.1311  0.8719E-01  0.2673E+01  0.1948E-01  0.2673E+01  0.7715E+03  0.7994E-31  0.1411E+01  0.1311E+02
  331.1311  436.5159  0.5456E-01  0.1795E+01  0.1245E-01  0.1795E+01  0.5914E+03  0.1054E-30  0.9802E+00  0.9727E+01
  436.5159  575.4399  0.3416E-01  0.1211E+01  0.7933E-02  0.1211E+01  0.4503E+03  0.1389E-30  0.6800E+00  0.7205E+01
  575.4399  758.5778  0.2132E-01  0.7969E+00  0.5018E-02  0.7969E+00  0.3408E+03  0.1831E-30  0.4713E+00  0.5328E+01
  758.5778 1000.0000  0.1333E-01  0.5240E+00  0.3149E-02  0.5240E+00  0.2565E+03  0.2414E-30  0.3266E+00  0.3934E+01
  ------------------------------------------------------------------------------------------
           TOTALS:    0.1182E+04  0.2053E+05  0.2059E+03  0.2053E+05  0.5409E+06  0.8655E-06  0.5943E+04  0.2287E+05
