                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (Ulysses)
 
 
 
 Species  =>  Protons
 
 Negative Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1082E+08 (#/cm^2/sec)
 95% Total Flux        =   0.9563E+08 (#/cm^2/sec)
  5% Total Flux        =   0.1531E+07 (#/cm^2/sec)
  95% Total Flux       =   0.9563E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.1889E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.1147E+06 (#/cm^2/sec)
 Mean Total Flux       =   0.2566E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5006E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
  575.4399  758.5778  0.1482E-03  0.5556E-02  0.3323E-04  0.5556E-02  0.2583E+01  0.1000E-32  0.3365E-02  0.3909E-01
  758.5778 1000.0000  0.6776E-04  0.2670E-02  0.1550E-04  0.2670E-02  0.1415E+01  0.1000E-32  0.1710E-02  0.2109E-01
 
 
                       Particle Flux per Energy Bin Table  (#/cm^2/sec)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0010    0.0013  0.3459E+06  0.1529E+07  0.6775E+05  0.1529E+07  0.1142E+08  0.2202E+04  0.5165E+06  0.6060E+06
    0.0013    0.0017  0.4279E+06  0.1938E+07  0.8072E+05  0.1938E+07  0.1486E+08  0.2702E+04  0.6508E+06  0.7789E+06
    0.0017    0.0023  0.5141E+06  0.2470E+07  0.9374E+05  0.2470E+07  0.1909E+08  0.3284E+04  0.8097E+06  0.9928E+06
    0.0023    0.0030  0.6096E+06  0.3072E+07  0.1055E+06  0.3072E+07  0.2407E+08  0.3949E+04  0.9920E+06  0.1251E+07
    0.0030    0.0040  0.7070E+06  0.3774E+07  0.1165E+06  0.3774E+07  0.2960E+08  0.4695E+04  0.1192E+07  0.1556E+07
    0.0040    0.0052  0.7947E+06  0.4582E+07  0.1227E+06  0.4582E+07  0.3686E+08  0.5512E+04  0.1401E+07  0.1903E+07
    0.0052    0.0069  0.8588E+06  0.5457E+07  0.1238E+06  0.5457E+07  0.4432E+08  0.6381E+04  0.1604E+07  0.2286E+07
    0.0069    0.0091  0.8889E+06  0.6294E+07  0.1201E+06  0.6294E+07  0.5499E+08  0.7277E+04  0.1781E+07  0.2692E+07
    0.0091    0.0120  0.8817E+06  0.7082E+07  0.1112E+06  0.7082E+07  0.7011E+08  0.8164E+04  0.1912E+07  0.3102E+07
    0.0120    0.0158  0.8369E+06  0.7605E+07  0.9739E+05  0.7605E+07  0.9512E+08  0.7815E+04  0.1980E+07  0.3497E+07
    0.0158    0.0209  0.7490E+06  0.7959E+07  0.8164E+05  0.7959E+07  0.1399E+09  0.7245E+04  0.1976E+07  0.3873E+07
    0.0209    0.0275  0.6341E+06  0.8015E+07  0.6579E+05  0.8015E+07  0.1937E+09  0.6534E+04  0.1899E+07  0.4234E+07
    0.0275    0.0363  0.5033E+06  0.7802E+07  0.5119E+05  0.7802E+07  0.2433E+09  0.5733E+04  0.1761E+07  0.4548E+07
    0.0363    0.0479  0.3821E+06  0.7116E+07  0.3858E+05  0.7116E+07  0.2670E+09  0.4897E+04  0.1576E+07  0.4713E+07
    0.0479    0.0631  0.2784E+06  0.6059E+07  0.2805E+05  0.6059E+07  0.2491E+09  0.3962E+04  0.1361E+07  0.4624E+07
    0.0631    0.0832  0.1956E+06  0.4917E+07  0.1993E+05  0.4917E+07  0.1971E+09  0.2919E+04  0.1133E+07  0.4303E+07
    0.0832    0.1096  0.1319E+06  0.3751E+07  0.1390E+05  0.3751E+07  0.1512E+09  0.2120E+04  0.9062E+06  0.3846E+07
    0.1096    0.1445  0.8794E+05  0.2703E+07  0.9418E+04  0.2703E+07  0.1385E+09  0.1520E+04  0.6941E+06  0.3275E+07
    0.1445    0.1905  0.5738E+05  0.1883E+07  0.6176E+04  0.1883E+07  0.1070E+09  0.6474E+03  0.5073E+06  0.2595E+07
    0.1905    0.2512  0.3674E+05  0.1249E+07  0.4077E+04  0.1249E+07  0.7197E+08  0.7661E+02  0.3543E+06  0.1905E+07
    0.2512    0.3311  0.2329E+05  0.8158E+06  0.2675E+04  0.8158E+06  0.4956E+08  0.7657E+01  0.2380E+06  0.1322E+07
    0.3311    0.4365  0.1466E+05  0.5171E+06  0.1749E+04  0.5171E+06  0.3721E+08  0.6640E+00  0.1550E+06  0.8813E+06
    0.4365    0.5754  0.9180E+04  0.3256E+06  0.1138E+04  0.3256E+06  0.2545E+08  0.5126E-01  0.9850E+05  0.5688E+06
    0.5754    0.7586  0.5723E+04  0.1996E+06  0.7374E+03  0.1996E+06  0.1616E+08  0.3606E-02  0.6149E+05  0.3574E+06
    0.7586    1.0000  0.3547E+04  0.1211E+06  0.4747E+03  0.1211E+06  0.9729E+07  0.2359E-03  0.3791E+05  0.2202E+06
    1.0000    1.3183  0.2206E+04  0.7318E+05  0.3037E+03  0.7318E+05  0.5650E+07  0.1458E-04  0.2318E+05  0.1339E+06
    1.3183    1.7378  0.1369E+04  0.4443E+05  0.1938E+03  0.4443E+05  0.3209E+07  0.8643E-06  0.1412E+05  0.8083E+05
    1.7378    2.2909  0.8473E+03  0.2636E+05  0.1234E+03  0.2636E+05  0.1864E+07  0.4961E-07  0.8583E+04  0.4871E+05
    2.2909    3.0200  0.5269E+03  0.1579E+05  0.7836E+02  0.1579E+05  0.1105E+07  0.2782E-08  0.5220E+04  0.2940E+05
    3.0200    3.9811  0.3264E+03  0.9363E+04  0.4918E+02  0.9363E+04  0.6475E+06  0.1533E-09  0.3180E+04  0.1782E+05
    3.9811    5.2481  0.2026E+03  0.5476E+04  0.3079E+02  0.5476E+04  0.3764E+06  0.8344E-11  0.1943E+04  0.1087E+05
    5.2481    6.9183  0.1252E+03  0.3299E+04  0.1926E+02  0.3299E+04  0.2176E+06  0.4502E-12  0.1192E+04  0.6677E+04
    6.9183    9.1201  0.7701E+02  0.1999E+04  0.1206E+02  0.1999E+04  0.1253E+06  0.2414E-13  0.7336E+03  0.4139E+04
    9.1201   12.0226  0.4761E+02  0.1217E+04  0.7552E+01  0.1217E+04  0.7637E+05  0.1289E-14  0.4537E+03  0.2590E+04
   12.0226   15.8489  0.2922E+02  0.7447E+03  0.4727E+01  0.7447E+03  0.5450E+05  0.6867E-16  0.2819E+03  0.1637E+04
   15.8489   20.8930  0.1794E+02  0.4571E+03  0.2962E+01  0.4571E+03  0.3884E+05  0.3652E-17  0.1761E+03  0.1046E+04
   20.8930   27.5423  0.1098E+02  0.2774E+03  0.1858E+01  0.2774E+03  0.2764E+05  0.1940E-18  0.1105E+03  0.6756E+03
   27.5423   36.3078  0.6739E+01  0.1692E+03  0.1162E+01  0.1692E+03  0.1965E+05  0.1030E-19  0.6971E+02  0.4411E+03
   36.3078   47.8630  0.4135E+01  0.1039E+03  0.7256E+00  0.1039E+03  0.1396E+05  0.5469E-21  0.4420E+02  0.2911E+03
   47.8630   63.0957  0.2518E+01  0.6396E+02  0.4528E+00  0.6396E+02  0.9912E+04  0.2904E-22  0.2818E+02  0.1941E+03
   63.0957   83.1764  0.1547E+01  0.3920E+02  0.2831E+00  0.3920E+02  0.7034E+04  0.1543E-23  0.1806E+02  0.1307E+03
   83.1764  109.6478  0.9415E+00  0.2421E+02  0.1761E+00  0.2421E+02  0.4989E+04  0.8199E-25  0.1163E+02  0.8879E+02
  109.6478  144.5440  0.5728E+00  0.1541E+02  0.1094E+00  0.1541E+02  0.3538E+04  0.3951E-26  0.7532E+01  0.6082E+02
  144.5440  190.5461  0.3455E+00  0.9718E+01  0.6811E-01  0.9718E+01  0.2508E+04  0.4600E-31  0.4902E+01  0.4198E+02
  190.5461  251.1887  0.2080E+00  0.6148E+01  0.4207E-01  0.6148E+01  0.1778E+04  0.6064E-31  0.3207E+01  0.2916E+02
  251.1887  331.1311  0.1256E+00  0.3861E+01  0.2604E-01  0.3861E+01  0.1260E+04  0.7994E-31  0.2108E+01  0.2038E+02
  331.1311  436.5159  0.7563E-01  0.2443E+01  0.1610E-01  0.2443E+01  0.9070E+03  0.1054E-30  0.1393E+01  0.1432E+02
  436.5159  575.4399  0.4525E-01  0.1582E+01  0.9911E-02  0.1582E+01  0.6549E+03  0.1389E-30  0.9243E+00  0.1010E+02
  575.4399  758.5778  0.2714E-01  0.1017E+01  0.6086E-02  0.1017E+01  0.4730E+03  0.1831E-30  0.6163E+00  0.7159E+01
  758.5778 1000.0000  0.1636E-01  0.6445E+00  0.3743E-02  0.6445E+00  0.3417E+03  0.2414E-30  0.4128E+00  0.5091E+01
  ------------------------------------------------------------------------------------------
           TOTALS:    0.9984E+07  0.9742E+08  0.1366E+07  0.9742E+08  0.2311E+10  0.8765E+05  0.2566E+08  0.6027E+08
