                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Negative Y direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.1905E+08 (#/cm^2/sec)
 95% Total Flux        =   0.1100E+09 (#/cm^2/sec)
  5% Total Flux        =   0.1084E+07 (#/cm^2/sec)
  95% Total Flux       =   0.1100E+09 (#/cm^2/sec)
 Maximum Total Flux    =   0.2446E+10 (#/cm^2/sec)
 Minimum Total Flux    =   0.1530E+04 (#/cm^2/sec)
 Mean Total Flux       =   0.3392E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.5549E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0013    0.0017  0.1028E+07  0.5080E+07  0.5779E+05  0.5080E+07  0.4759E+08  0.1843E+02  0.1527E+07  0.1789E+07
    0.0017    0.0023  0.1264E+07  0.6536E+07  0.6515E+05  0.6536E+07  0.3702E+08  0.2253E+02  0.1944E+07  0.2363E+07
    0.0023    0.0030  0.1481E+07  0.8269E+07  0.7137E+05  0.8269E+07  0.3884E+08  0.2731E+02  0.2398E+07  0.3037E+07
    0.0030    0.0040  0.1672E+07  0.9792E+07  0.7549E+05  0.9792E+07  0.5219E+08  0.3279E+02  0.2830E+07  0.3750E+07
    0.0040    0.0052  0.1779E+07  0.1070E+08  0.7680E+05  0.1070E+08  0.7874E+08  0.3896E+02  0.3152E+07  0.4359E+07
    0.0052    0.0069  0.1753E+07  0.1136E+08  0.7520E+05  0.1136E+08  0.1140E+09  0.4578E+02  0.3293E+07  0.4758E+07
    0.0069    0.0091  0.1564E+07  0.1152E+08  0.7030E+05  0.1152E+08  0.1533E+09  0.5316E+02  0.3232E+07  0.4968E+07
    0.0091    0.0120  0.1304E+07  0.1050E+08  0.6205E+05  0.1050E+08  0.1846E+09  0.6097E+02  0.3009E+07  0.5174E+07
    0.0120    0.0158  0.1026E+07  0.8957E+07  0.5209E+05  0.8957E+07  0.1908E+09  0.6901E+02  0.2678E+07  0.5482E+07
    0.0158    0.0209  0.7656E+06  0.7237E+07  0.4140E+05  0.7237E+07  0.2247E+09  0.7707E+02  0.2283E+07  0.5806E+07
    0.0209    0.0275  0.5386E+06  0.5646E+07  0.3109E+05  0.5646E+07  0.2328E+09  0.6600E+02  0.1843E+07  0.5760E+07
    0.0275    0.0363  0.3486E+06  0.4338E+07  0.2258E+05  0.4338E+07  0.1937E+09  0.5046E+02  0.1398E+07  0.5296E+07
    0.0363    0.0479  0.2308E+06  0.3196E+07  0.1567E+05  0.3196E+07  0.2060E+09  0.3686E+02  0.9939E+06  0.4423E+07
    0.0479    0.0631  0.1534E+06  0.2235E+07  0.1035E+05  0.2235E+07  0.1761E+09  0.2573E+02  0.6713E+06  0.3310E+07
    0.0631    0.0832  0.1008E+06  0.1533E+07  0.6406E+04  0.1533E+07  0.1395E+09  0.1716E+02  0.4416E+06  0.2307E+07
