                                       - FLUX SUMMARY -
 L2-CPE V1.3            Kappa-distribution     
 Cartesian (LRAD) Algorithm
 
 
 Phenomenological Region  =>  Solar Wind at SolMax (IMP-8)
 
 
 
 Species  =>  Protons
 
 Negative Z direction flux calculated.
 
 Minimum Energy =     0.0010 keV
 Maximum Energy =  1000.0000 keV
 
 Number of Energy Bins =    50
 
 50% Total Flux        =   0.5827E+07 (#/cm^2/sec)
 95% Total Flux        =   0.6566E+08 (#/cm^2/sec)
  5% Total Flux        =   0.2474E+06 (#/cm^2/sec)
  95% Total Flux       =   0.6566E+08 (#/cm^2/sec)
 Maximum Total Flux    =   0.7018E+09 (#/cm^2/sec)
 Minimum Total Flux    =   0.5350E+03 (#/cm^2/sec)
 Mean Total Flux       =   0.1717E+08 (#/cm^2/sec)
 Std. Dev. Total Flux  =   0.3266E+08 (#/cm^2/sec)
 
 
                        Differential Energy Flux Table  (#/cm^2/sec/keV)
 
    E1(keV)   E2(keV)    50%          95%         5%          95%       Maximum     Minimum     Mean       Std. Dev.
    0.0158    0.0209  0.2616E+06  0.4502E+07  0.1067E+05  0.4502E+07  0.8274E+08  0.2984E+02  0.1221E+07  0.3458E+07
    0.0209    0.0275  0.2090E+06  0.3573E+07  0.8578E+04  0.3573E+07  0.8557E+08  0.2492E+02  0.1079E+07  0.3500E+07
    0.0275    0.0363  0.1612E+06  0.2797E+07  0.6641E+04  0.2797E+07  0.8078E+08  0.1856E+02  0.8855E+06  0.3162E+07
    0.0363    0.0479  0.1178E+06  0.2282E+07  0.4918E+04  0.2282E+07  0.9001E+08  0.1331E+02  0.6730E+06  0.2530E+07
    0.0479    0.0631  0.8474E+05  0.1718E+07  0.3484E+04  0.1718E+07  0.8790E+08  0.9207E+01  0.4836E+06  0.1886E+07
    0.0631    0.0832  0.5979E+05  0.1236E+07  0.2369E+04  0.1236E+07  0.7371E+08  0.6145E+01  0.3387E+06  0.1413E+07
    0.0832    0.1096  0.4133E+05  0.8347E+06  0.1531E+04  0.8347E+06  0.6802E+08  0.3232E+01  0.2367E+06  0.1105E+07
    0.1096    0.1445  0.2812E+05  0.5558E+06  0.9674E+03  0.5558E+06  0.5832E+08  0.1364E+01  0.1665E+06  0.8770E+06
    0.1445    0.1905  0.1868E+05  0.3690E+06  0.5856E+03  0.3690E+06  0.4535E+08  0.5648E+00  0.1178E+06  0.6779E+06
    0.1905    0.2512  0.1229E+05  0.2454E+06  0.3468E+03  0.2454E+06  0.3199E+08  0.2299E+00  0.8363E+05  0.5048E+06
    0.2512    0.3311  0.8025E+04  0.1628E+06  0.1985E+03  0.1628E+06  0.2354E+08  0.9214E-01  0.5943E+05  0.3699E+06
    0.3311    0.4365  0.5190E+04  0.1078E+06  0.1125E+03  0.1078E+06  0.2112E+08  0.3646E-01  0.4221E+05  0.2732E+06
    0.4365    0.5754  0.3317E+04  0.7236E+05  0.6237E+02  0.7236E+05  0.1793E+08  0.1426E-01  0.2992E+05  0.2036E+06
    0.5754    0.7586  0.2110E+04  0.5003E+05  0.3372E+02  0.5003E+05  0.1442E+08  0.5521E-02  0.2112E+05  0.1513E+06
    0.7586    1.0000  0.1330E+04  0.3546E+05  0.1801E+02  0.3546E+05  0.1103E+08  0.2119E-02  0.1484E+05  0.1109E+06
    1.0000    1.3183  0.8334E+03  0.2544E+05  0.9464E+01  0.2544E+05  0.8042E+07  0.8072E-03  0.1038E+05  0.8002E+05
    1.3183    1.7378  0.5182E+03  0.1807E+05  0.4938E+01  0.1807E+05  0.5626E+07  0.3055E-03  0.7248E+04  0.5696E+05
    1.7378    2.2909  0.3203E+03  0.1312E+05  0.2540E+01  0.1312E+05  0.3796E+07  0.1149E-03  0.5061E+04  0.4022E+05
    2.2909    3.0200  0.1976E+03  0.9674E+04  0.1294E+01  0.9674E+04  0.2485E+07  0.4303E-04  0.3544E+04  0.2834E+05
    3.0200    3.9811  0.1221E+03  0.7121E+04  0.6539E+00  0.7121E+04  0.1586E+07  0.1604E-04  0.2495E+04  0.2003E+05
    3.9811    5.2481  0.7496E+02  0.5256E+04  0.3288E+00  0.5256E+04  0.1014E+07  0.5955E-05  0.1770E+04  0.1427E+05
    5.2481    6.9183  0.4601E+02  0.3872E+04  0.1635E+00  0.3872E+04  0.7307E+06  0.2204E-05  0.1266E+04  0.1027E+05
    6.9183    9.1201  0.2819E+02  0.2876E+04  0.8212E-01  0.2876E+04  0.5269E+06  0.8132E-06  0.9144E+03  0.7478E+04
    9.1201   12.0226  0.1716E+02  0.2158E+04  0.4070E-01  0.2158E+04  0.4002E+06  0.2993E-06  0.6669E+03  0.5516E+04
   12.0226   15.8489  0.1046E+02  0.1613E+04  0.2008E-01  0.1613E+04  0.3232E+06  0.1099E-06  0.4911E+03  0.4120E+04
   15.8489   20.8930  0.6378E+01  0.1219E+04  0.9789E-02  0.1219E+04  0.2609E+06  0.4031E-07  0.3651E+03  0.3113E+04
   20.8930   27.5423  0.3880E+01  0.9298E+03  0.4804E-02  0.9298E+03  0.2174E+06  0.1475E-07  0.2738E+03  0.2378E+04
